"Zeitstempel","How old are you?","What is your sex?","Where are you born?","How many online meetings per week do you usually have?","Is it important for you to know what others think about you?","Your thoughts about the system [I found the system complex.]","Your thoughts about the system [I would have needed help to understand the system.]","Your thoughts about the system [I could work with the system daily.]","Your thoughts about the system [By knowing the emotion of the group, the system helped me to readjust my presentation and raise their engagement.]","Your thoughts about the system [I could change my presentation during holding it, to raise the happiness of the viewers.]","Your thoughts about the system [I think it was clear for me why the size of the emojis was changing.]","Your thoughts about the system [I think the system was too complex to understand.]","Your thoughts about the system [I think it was clear what effect the move of the slider will have.]","Your thoughts about the system [The using of the system makes me happy.]","Your thoughts about the system [I think the used emojis were irritating to understand.]","Your thoughts about the system [I think the system has a nice interface.]","Your thoughts about the system [I felt the system was valuable to me.]","Do you have any suggestion about how to improve the system?"
"2021/07/12 3:29:01 PM OEZ","20-29 years","Other","Europa","3 - 6 meetings per week","no","I don't agree at all","I don't agree","I do agree","I don't agree at all","I don't agree","I gree entirelly","I don't agree at all","Neutral","I don't agree at all","I don't agree","I don't agree","I don't agree at all","I personally would never want to use anything similar to this system. It would not only distract me from my presentation, it would cause me to worry more about how I say something, trying to please everyone, instead of what I say. 
The Idea is pretty cool, but I think I wouldn't use it. So no suggestions, sorry."
"2021/07/12 5:34:54 PM OEZ","20-29 years","Male","Europa","3 - 6 meetings per week","no","I do agree","I do agree","I do agree","Neutral","I do agree","I don't agree","I don't agree","Neutral","Neutral","I do agree","I do agree","I do agree","The emotes for disengagement and engagement are not that clear for me. Otherwise, great idea!"
"2021/07/13 8:39:48 AM OEZ","30-39 years","Male","Asia","3 - 6 meetings per week","no","Neutral","I don't agree at all","Neutral","I do agree","I do agree","I gree entirelly","I don't agree at all","I do agree","I do agree","Neutral","I don't agree","Neutral","May be smaller icons of Emoji around the corner would be nice. "
"2021/07/13 4:02:13 PM OEZ","20-29 years","Female","Asia","3 - 6 meetings per week","no","I don't agree at all","I don't agree","I don't agree at all","I don't agree at all","I don't agree at all","I don't agree","I don't agree","I don't agree at all","I don't agree at all","I gree entirelly","I don't agree at all","I don't agree at all","I generally do not find the system very helpful as it distracts hugely from my presentation and makes me lose my train of thought, but a better overall display of emojis could be an improvement. There is not enough difference between the emojis that represent the two different states on each axis, they should be recognizable from just the corner of the eye during the presentation. Also, the frequent change of emojis & their size and the fact that there are two different fields I have to pay attention to is an information overload. Maybe a slower change of emojis that happens more gradually would be more pleasant and less distracting."
"2021/07/15 1:42:25 AM OEZ","20-29 years","Female","Asia","3 - 6 meetings per week","no","I don't agree","I don't agree","Neutral","Neutral","I don't agree","I do agree","I don't agree","I don't agree","Neutral","I don't agree","I don't agree","Neutral",""
"2021/07/15 1:05:33 PM OEZ","20-29 years","Female","Asia","3 - 6 meetings per week","yes","I don't agree","I do agree","Neutral","I do agree","I do agree","I do agree","I don't agree","I don't agree","Neutral","Neutral","I don't agree","Neutral",""
"2021/07/18 9:39:21 PM OEZ","20-29 years","Female","Asia","< 2 meetings","yes","I don't agree","I do agree","I do agree","I do agree","I gree entirelly","I gree entirelly","I don't agree","I do agree","I do agree","I don't agree","I do agree","I do agree","No"
"2021/07/18 9:43:54 PM OEZ","20-29 years","Male","Asia","< 2 meetings","no","I don't agree","I don't agree","I do agree","I do agree","I do agree","Neutral","I don't agree","Neutral","Neutral","I don't agree","I don't agree","I don't agree",""
"2021/07/18 11:03:48 PM OEZ","30-39 years","Male","Asia","> 10 meetings per week","yes","I do agree","I do agree","I don't agree","Neutral","I don't agree","I don't agree","Neutral","I don't agree","I don't agree","I do agree","I do agree","Neutral","4 different regular emoji with counter on top of each would be better."
"2021/07/19 12:37:09 AM OEZ","30-39 years","Male","Asia","< 2 meetings","no","I don't agree","Neutral","Neutral","Neutral","Neutral","I don't agree","I don't agree","I don't agree","I don't agree at all","I don't agree","Neutral","I don't agree at all",""
"2021/07/19 1:10:26 AM OEZ","20-29 years","Male","Asia","< 2 meetings","yes","I don't agree","I don't agree","I do agree","Neutral","Neutral","I do agree","I don't agree","I do agree","Neutral","I don't agree","I do agree","Neutral",""
"2021/07/19 5:52:23 AM OEZ","30-39 years","Male","Asia","< 2 meetings","yes","Neutral","I do agree","Neutral","I do agree","I don't agree","I don't agree","I do agree","I don't agree","I don't agree","I don't agree","I don't agree","I don't agree",""
"2021/07/19 9:34:45 AM OEZ","20-29 years","Male","Asia","3 - 6 meetings per week","yes","I don't agree","Neutral","I do agree","I do agree","I do agree","I gree entirelly","I don't agree","I do agree","Neutral","I don't agree","I do agree","I do agree",""
"2021/07/19 10:17:54 AM OEZ","20-29 years","Male","Asia","> 10 meetings per week","yes","I do agree","Neutral","I don't agree","Neutral","I do agree","Neutral","Neutral","Neutral","Neutral","I don't agree","I do agree","Neutral",""
"2021/07/19 10:31:15 AM OEZ","30-39 years","Male","Asia","< 2 meetings","no","Neutral","Neutral","Neutral","I gree entirelly","I do agree","I gree entirelly","I don't agree at all","I do agree","Neutral","Neutral","Neutral","Neutral",""
